Feature,Source Repository,Current Location,Category,Migration Target,Priority,Status
Workflow Engine,ReconX Core,ReconX/ReconX/core,Orchestration,Reconx_V_2.0.0/core,High,Pending
Plugin Loader,ReconX Core,ReconX/ReconX/core,Orchestration,Reconx_V_2.0.0/core,High,Pending
Dashboard UI,ReconX_Final_v1.0.0_with_dashboard,ReconX_Final_v1.0.0_with_dashboard,UI,Reconx_V_2.0.0/dashboard,High,Pending
AcquiFinder-main Integration,AcquiFinder-main,Repos/AcquiFinder-main,Python,Reconx_V_2.0.0/modules/acquifinder-main,Medium,Pending
active-ip-main Integration,active-ip-main,Repos/active-ip-main,Go,Reconx_V_2.0.0/modules/active-ip-main,Medium,Pending
BCHackTool-main Integration,BCHackTool-main,Repos/BCHackTool-main,Shell,Reconx_V_2.0.0/modules/bchacktool-main,Medium,Pending
breach-check-main Integration,breach-check-main,Repos/breach-check-main,Python,Reconx_V_2.0.0/modules/breach-check-main,Medium,Pending
Bug-Bounty-Agents-main Integration,Bug-Bounty-Agents-main,Repos/Bug-Bounty-Agents-main,Shell,Reconx_V_2.0.0/modules/bug-bounty-agents-main,Medium,Pending
crlfi-main Integration,crlfi-main,Repos/crlfi-main,JavaScript/TypeScript,Reconx_V_2.0.0/modules/crlfi-main,Medium,Pending
csprecon-main Integration,csprecon-main,Repos/csprecon-main,Go,Reconx_V_2.0.0/modules/csprecon-main,Medium,Pending
dalfox-main Integration,dalfox-main,Repos/dalfox-main,JavaScript/TypeScript,Reconx_V_2.0.0/modules/dalfox-main,Medium,Pending
deksterecon-master Integration,deksterecon-master,Repos/deksterecon-master,Shell,Reconx_V_2.0.0/modules/deksterecon-master,Medium,Pending
DirX-main Integration,DirX-main,Repos/DirX-main,Python,Reconx_V_2.0.0/modules/dirx-main,Medium,Pending
FinalRecon-master Integration,FinalRecon-master,Repos/FinalRecon-master,Python,Reconx_V_2.0.0/modules/finalrecon-master,Medium,Pending
Garud-master Integration,Garud-master,Repos/Garud-master,Shell,Reconx_V_2.0.0/modules/garud-master,Medium,Pending
GhostRecon-main Integration,GhostRecon-main,Repos/GhostRecon-main,Shell,Reconx_V_2.0.0/modules/ghostrecon-main,Medium,Pending
